"","director","name","score","year","foreign"
"2398","Gregg Araki","Kaboom",6,2011,FALSE
"2399","Gregg Araki","Mysterious Skin",7.1,2005,FALSE
"2400","Gregg Araki","Smiley Face",6.5,2007,FALSE
"2401","Gregg Araki","Splendor",6,1999,FALSE
"2402","Gregg Araki","White Bird in a Blizzard",6,2014,FALSE
"2403","Gregg Lachow","Money Buys Happiness",4,2002,FALSE
"2404","Gregor Jordan","Buffalo Soldiers",6,2001,FALSE
"2405","Gregor Jordan","The Informers",5,2009,FALSE
"2406","Gregor Schnitzer","What to Do in Case of Fire",6,2002,FALSE
"2407","Gregory Hatanaka","Mad Cowgirl",6,2006,FALSE
"2408","Gregory Haynes","Cowboys and Angels",5,2004,FALSE
"2409","Gregory Hoblit","Fracture",6.9,2007,FALSE
"2410","Gregory Hoblit","Frequency",6.8,2000,FALSE
"2411","Gregory Hoblit","Hart's War",5.5,2002,FALSE
"2412","Gregory Hoblit","Untraceable",6,2008,FALSE
"2413","Gregory Kohn","Northeast",5,2013,FALSE
"2414","Gregory Nava","Why Do Fools Fall in Love",5,1998,FALSE
"2415","Greta Gerwig","Lady Bird",7.2,2017,FALSE
"2416","Griffin Dunne","Fierce People",6.5,2007,FALSE
"2417","Griffin Dunne","Lisa Picard Is Famous",5.9,2001,FALSE
"2418","Griffin Dunne","Practical Magic",6,1998,FALSE
"2419","Grimur Hakonarson"," Rams",7.2,2015,TRUE
"2420","Guard Brothers","The Uninvited",4,2009,FALSE
"2421","Guillaume Canet","Little White Lies",5,2012,FALSE
"2422","Guillaume Canet","Tell No One",6,2008,FALSE
"2423","Guillaume Nicloux","The Kidnapping of Michel Houellebecq",6.9,2015,FALSE
"2424","Guillermo Amoedo","Eli Roth Presents the Stranger",6,2015,FALSE
"2425","Guillermo Arriaga","The Burning Plain",6,2008,FALSE
"2426","Guillermo del Toro","Crimson Peak",6,2015,FALSE
"2427","Guillermo del Toro","Hellboy",7,2004,FALSE
"2428","Guillermo del Toro","Hellboy II",5.5,2008,FALSE
"2429","Guillermo del Toro","Pacific Rim",6.7,2013,FALSE
"2430","Guillermo del Toro","The Devil's Backbone",7.1,2001,FALSE
"2431","Guillermo Del Toro","Blade 2",6,2002,FALSE
"2432","Guillermo Del Toro","Pan's Labyrinth",7.2,2006,FALSE
"2433","Guillermo Del Toro","The Shape Of Water",6.7,2017,FALSE
"2434","Gulshat Omarova"," Schizo",6,2004,TRUE
"2435","Guo Jingming","Tiny Times 2",4.5,2013,FALSE
"2436","Gurinder Chadha","Bend it Like Beckham",6.3,2002,FALSE
"2437","Gurinder Chadha","Bride and Prejudice",5,2005,FALSE
"2438","Gurinder Chadha","Viceroys House",7,2017,FALSE
"2439","Gurinder Chadha","What's Cooking",6.1,2000,FALSE
"2440","Gurvinder Singh","Alms for a Blind Horse",5.5,2012,FALSE
"2441","Gus Van Sant","""Restless",6,2011,FALSE
"2442","Gus Van Sant","Elephant",7.1,2003,FALSE
"2443","Gus Van Sant","Finding Forrester",6.8,2000,FALSE
"2444","Gus Van Sant","Gerry",6,2003,FALSE
"2445","Gus Van Sant","Good Will Hunting",6.2,1998,FALSE
"2446","Gus Van Sant","Last Days",6.5,2005,FALSE
"2447","Gus Van Sant","Paranoid Park",7.1,2007,FALSE
"2448","Gus Van Sant","Promised Land",6,2012,FALSE
"2449","Gus Van Sant","Restless",7,2011,FALSE
"2450","Gus VanSant","Milk",6.7,2008,FALSE
